title,references
Perceived compatibility of information technology innovations among secondary adopters: Toward a reassessment,"D. Leonard-BartonImplementation as mutual adaption of technology and organizationRes. Policy(1988)-::-J. Bayer et al.Adoption of Software Engineering Innovations in Organizations(1989)-::-J.C. Brancheau et al.Understanding innovation diffusion helps boost acceptance rates of new technologyChief Inf. Officer J.(1989)-::-J.C. Brancheau et al.The adoption of spreadsheet software: Testing innovation diffusion theory in the context of end-user computingInf. Syst. Res.(1990)-::-M.E. Burkhardt et al.Changing patterns or patterns of change: The effects of a change in technology on social network structure and powerAdmin. Sci. Q.(1990)-::-G. Burrell et al.Sociological Paradigms and Organizational Analysis(1979)-::-G.A. ChurchillA paradigm for developing better measures of marketing constructsJ. Market. Res.(1979)-::-A.L. Comrey et al.A First Course in Factor Analysis(1991)-::-M.A. CusumanoThe software factory: A historical interpretationIEEE Software(1989)-::-M.A. CusumanoFactory concepts and practices in software developmentAnn. Hist. Comput.(1991)-::-F. DamanpourInnovation type, radicalness, and the adoption processCommun. Res.(1988)-::-F.D. DavisPerceived usefulness, perceived ease of use, and user acceptance of information technologyMIS Q.(1989)-::-R.D. Dewar et al.The adoption of radical and incremental innovations: An empirical analysisManage. Sci.(1986)-::-M. DouglasHow Institutions Think(1986)-::-J.E. Ettlie et al.Organization strategy and structural differences for radical versus incremental innovationManage. Sci.(1984)-::-J.D. Eveland et al.The deployment of technology-::-R.L. GorsuchFactor Analysis(1983)-::-J. HageTheories of Organization(1980)-::-R. Hirschheim et al.Four paradigms of information systems developmentCommun. ACM(1989)-::-C.T. Hughes et al.The stages of CASE usageDatamation(1990)-::-P.G.W. KeenInformation systems and organizational changeCommun. ACM(1981)-::-K.E. KnightA descriptive model of the intra-firm innovation processJ. Bus.(1967)-::-T.H. Kwon et al.Unifying the fragmented models of information systems implementation-::-D. Leonard-BartonImplementing structured software methodologies: A case of innovation in process technologyInterfaces(1987)-::-D. Leonard-Barton et al.Managerial influence in the implementation of new technologyManage. Sci.(1988)-::-M.L. Markus et al.The organizational validity of management information systemsHum. Relat.(1983)-::-M.L. Markus et al.Information technology and organizational change: Causal structure in theory and researchManage. Sci.(1988)"
Response of headaches to nonnarcotic analgesics resulting in missed intracranial hemorrhage,"C Ghelardini et al.Involvement of central cholinergic neurotransmission in metoclopramide analgesiaPharm Res(1992)-::-M LeichtNon-traumatic headache in the emergency departmentAnn Emerg Med(1980)-::-CP Davis et al.Ketorolac as a rapid and effective treatment of migraine headache: Evaluation by patientsAm J Emerg Med(1993)-::-HA SaadahAbortive headache therapy in the office with intravenous dihydroergotamine plus prochlorperazineHeadache(1992)-::-J Jones et al.Randomized double-blind trial of intravenous prochlorperazine for the treatment of acute headacheJAMA(1989)-::-CL Barclay et al.Response of non-migrainous headaches to chlorpromazineHeadache(1990)-::-V Dhopesh et al.A retrospective assessment of emergency department patients with complaint of headacheHeadache(1979)-::-BJ Repschlaeger et al.Classification, mechanisms and management of headacheClinical Pharmacy(1984)-::-NWC DorschSubarachnoid hemorrhageMed J Aust(1991)"
"The origins, benefits, harms, and implications of emergency medicine clinical policies","KellyJT  et al.Practice parameters: Development, evaluation, dissemination, and implementationQRB(1992)-::-PierceEC The development of anesthesia guidelines and standardsQRB(1990)-::-ACEP Standards Task ForceClinical policy for the management of adult patients presenting with a chief complaint of chest pain, with no history of trauma(1990)-::-WennbergJ  et al.Small area variations in health care deliveryScience(1973)-::-ChassinMR  et al.Variations in the use of medical and surgical services by the Medicare populationN Engl J Med(1986)-::-ChassinMR  et al.Does inappropriate use explain geographic variations in the use of health care services? A study of three proceduresJAMA(1987)-::-CodmanEA The product of a hospitalSurg Gynecol Obstet(1914)-::-EddyD Anatomy of a decisionJAMA(1990)-::-American Medical Association, Office of Quality Assurance and Healthcare Organizations-::-American Medical Association, Office of Quality Assurance and Healthcare Organizations-::-Institute of Medicine-::-Institute of Medicine-::-EddyD -::-WoolfS -::-FinkA  et al.Consensus methods: Characteristics and guidelines for useAm J Public Health(1984)"
Emergency department presentation of bilateral carotid artery dissections in a postpartum patient,T. Sharshar et al.Incidence and causes of strokes associated with pregnancy and puerperium. A study in public hospitals of Ile de FranceStroke(1995)-::-T. Von Wald et al.Headache during pregnancyObst Gynecol Survey(2002)-::-F. Granella et al.Migraine without aura and reproductive life events: a clinical epidemiological study in 1300 womenHeadache(1993)-::-D.J. Lanska et al.Risk factors for peripartum and postpartum stroke and intracranial venous thrombosisStroke(2000)-::-C. Stapf et al.Carotid artery dissectionAnnu Rev Med(2000)-::-A.P. Gasecki et al.Dissections after childbirthJ Neurol(1999)
High-yield criteria for urgent cranial computed tomography scans,EvensRG  et al.Computed tomography utilization and charges in 1981Radiology(1982)
Thunderclap headache,"FH Linn et al.Prospective study of sentinel headache in aneurysmal subarachnoid haemorrhageLancet(1994)-::-SFTM de Bruijn et al.Thunderclap headache as the first symptom of cerebral venous sinus thrombosisLancet(1996)-::-F Barinagarrementeria et al.Aseptic cerebral venous thrombosis: proposed prognostic scaleJ Stroke Cerebrovasc Dis(1992)-::-B MokriLow cerebrospinal fluid pressure syndromesNeurol Clin(2004)-::-G Mohr et al.Hemorrhage, necrosis, and apoplexy in pituitary adenomasSurg Neurol(1982)-::-JM Embil et al.A blinding headacheLancet(1997)-::-JW Day et al.Thunderclap headache: symptom of unruptured cerebral aneurysmLancet(1986)-::-A-M Landtblom et al.Sudden onset headache: a prospective study of features, incidence and causesCephalalgia(2002)-::-J van Gijn et al.Subarachnoid haemorrhage: diagnosis, causes and managementBrain(2001)-::-JM Ferro et al.Investigation into the causes of delayed diagnosis of subarachnoid hemorrhageCerebrovasc Dis(1991)-::-FH Linn et al.Headache characteristics in subarachnoid haemorrhage and benign thunderclap headacheJ Neurol Neurosurg Psychiatry(1998)-::-PAG Sandercock et al.Stroke: a practical guide to management(2000)-::-J Pascual et al.Cough, exertional, and sexual headaches: an analysis of 72 benign and symptomatic casesNeurology(1996)-::-M Vermeulen et al.Antifibrinolytic treatment in subarachnoid hemorrhageN Engl J Med(1984)-::-D Hasan et al.Epileptic seizures after subarachnoid hemorrhageAnn Neurol(1993)-::-AN Pinto et al.Seizures at the onset of subarachnoid haemorrhageJ Neurol(1996)-::-L Caeiro et al.Delirium in acute subarachnoid haemorrhageCerebrovasc Dis(2005)-::-M Ramirez-Lassepas et al.Predictors of intracranial pathologic findings in patients who seek emergency care because of headacheArch Neurol(1997)-::-JR KeaneRetinal hemorrhages: its significance in 100 patients with acute encephalopathy of unknown causeArch Neurol(1979)-::-B Pfausler et al.Terson's syndrome in spontaneous subarachnoid hemorrhage: a prospective study in 60 consecutive patientsJ Neurosurg(1996)-::-JA Edlow et al.Avoiding pitfalls in the diagnosis of subarachnoid hemorrhageN Engl J Med(2000)-::-LB Morgenstern et al.Worst headache and subarachnoid hemorrhage: prospective, modern computed tomography and spinal fluid analysisAnn Emerg Med(1998)-::-N van der Wee et al.Detection of subarachnoid haemorrhage on early CT: is lumbar puncture still needed after a negative scan?J Neurol Neurosurg Psychiatry(1995)-::-R Sidman et al.Subarachnoid hemorrhage diagnosis: lumbar puncture is still needed when the computed tomography scan is normalAcad Emerg Med(1996)-::-TA Sames et al.Sensitivity of new-generation computed tomography in subarachnoid hemorrhageAcad Emerg Med(1996)-::-M Vermeulen et al.Xanthochromia after subarachnoid haemorrhage needs no revisitationJ Neurol Neurosurg Psychiatry(1989)-::-JW Hop et al.Case-fatality rates and functional outcome after subarachnoid hemorrhage: a systematic reviewStroke(1997)-::-CM Tolias et al.Will increased awareness among physicians of the significance of sudden agonizing headache affect the outcome of subarachnoid hemorrhage? Coventry and Warwickshire Study: audit of subarachnoid hemorrhage (establishing historical controls), hypothesis, campaign layout, and cost estimationStroke(1996)-::-WI Schievink et al.Sudden death from aneurysmal subarachnoid hemorrhageNeurology(1995)-::-A PolmearSentinel headaches in aneurysmal subarachnoid haemorrhage: what is the true incidence? A systematic reviewCephalalgia(2003)-::-R Cumurciuc et al.Headache as the only neurological sign of cerebral venous thrombosis: a series of 17 casesJ Neurol Neurosurg Psychiatry(2005)-::-E Terazzi et al.Cerebral venous thrombosis: a retrospective multicentre study of 48 patientsNeurol Sci(2005)-::-SFTM de Bruijn et al.Clinical features and prognostic factors of cerebral venous sinus thrombosis in a prospective series of 59 patientsJ Neurol Neurosurg Psychiatry(2001)-::-E AgostiniHeadache in cerebral venous thrombosisNeurol Sci(2004)-::-C Cantu et al.Cerebral venous thrombosis associated with pregnancy and peurperium: review of 67 casesStroke(1993)-::-JP Gladstone et al.The young woman with postpartum “thunderclap” headacheHeadache(2005)-::-KCVG Rao et al.CT findings in cerebral sinus and venous thrombosisRadiology(1981)-::-J Chiras et al.CT in cerebral thrombophlebitisNeuroradiology(1985)-::-E Widjaja et al.Thunderclap headache: presentation of intracranial sinus thrombosis?Clin Radiol(2003)-::-MG Bousser et al.Cerebral venous thrombosis: a review of 38 casesStroke(1985)-::-PL Silbert et al.Headache and neck pain in spontaneous internal carotid and vertebral artery dissectionsNeurology(1995)-::-P Mitsias et al.Headache in ischemic cerebrovascular disease. Part I: clinical featuresCephalalagia(1992)-::-The international classification of headache disordersCephalalgia(2004)-::-V Biousse et al.Head pain in non-traumatic carotid artery dissection: a series of 65 patientsCephalalgia(1994)-::-DF Tang-Wai et al.Hypertensive encephalopathy presenting with thunderclap headacheHeadache(2001)-::-DW Dodick et al.Thunderclap headache associated with reversible vasospasm and posterior leukoencephalopathy syndromeCephalalgia(2003)-::-B Zampaglione et al.Hypertensive urgencies and emergencies. Prevalence and clinical presentationHypertension(1996)-::-ELH SpieringsAcute and chronic hypertensive headache and hypertensive encephalopathyCephalalgia(2002)-::-E Healton et al.Hypertensive encephalopathy and the neurologic manifestations of malignant hypertensionNeurology(1982)-::-J Hinchey et al.A reversible posterior leukoencephalopathy syndromeN Engl J Med(1996)"
Prospective study of sentinel headache in aneurysmal subarachnoid haemorrhage,"Gm Teasdale et al.Assessment of coma and impaired consciousness: a practical scaleLancet(1974)-::-B. Jennett et al.Assessment of outcome after severe brain damage: a practical scaleLancet(1975)-::-Efm Wijdicks et al.Long-term follow-up of 71 patients with thunderclap headache mimicking subarachnoid haemorrhageLancet(1988)-::-Bk Rasmussen et al.Symptomatic and nonsymptomtic headaches in a general populationNeurology(1992)-::-A. Hijdra et al.Aneurysmal subarachnoid hemorrhage. Complications and outcome in a hospital populationStroke(1987)-::-Sh OkawaraWarning signs prior to rupture of an intracranial aneurysmJ Neurosurg(1973)-::-Gp DuffyThe ""warning leak"" in spontaneous subarachnoid haemorrhageMed J Aust(1983)-::-R. Leblanc et al.The warning leak in subarachnoid hemorrhage and the importance of its early diagnosisCan Med Assoc J(1984)-::-J. Hauerberg et al.Importance of the recognition of a warning leak as a sign of a ruptured intracranial aneurysmActa Neurol Scand(1991)-::-S. JuvelaMinor leak before rupture of an intracranial aneurysm and subarachnoid hemorrhage of unknown etiologyNeurosurg(1992)-::-Rd Verweij et al.Warning headache in aneurysmal subrachnoid hemorrhageArch Neurol(1988)-::-Hja ColletteThe sentinel practices system in the Netherlands-::-M. Vermeulen et al.The diagnosis of subarachnoid haemorrhageJ Neurol Neurosurg Psychiatry(1990)-::-A. Hijdra et al.Grading the amount of blood on computed tomograms after subarachnoid hemorrhageStroke(1990)"
LONG-TERM FOLLOW-UP OF 71 PATIENTS WITH THUNDERCLAP HEADACHE MIMICKING SUBARACHNOID HAEMORRHAGE,"Rj Abbott et al.Thunderclap headache and unruprured cerebral aneurysmLancet(1986)-::-R. Leblanc et al.The warning leak in subarachnoid hemorrhage and the importance of its early diagnosisCan Med Assoc J(1984)-::-Rb King et al.Forewarning a major subarachnoid hemorrhageN Y State J Med(1974)-::-G. Verweij, Efm Wijdicks, J. van Gijn, Warning headache in subarachnoid hemorrhage, Arch Neurol ((in...-::-Jw Day et al.Thunderclap headache symptom of unruptured cerebral anerysmLancet(1986)-::-Cm FisherPainful states a neurological commentaryClin Neurosurg(1984)-::-A. Salloum et al.Acces cephalalgiques simulant une hémorragie meningeeRev Neurol(1977)-::-Wf McCormick et al.Saccular intracranial aneurysm an autopsy studyJ Neurosurg(1965)"
Headache and seizure in a young woman postpartum,D.J. Lanska et al.Peripartum stroke and intracranial venous thrombosis in the National Hospital Discharge SurveyObstet Gynecol(1997)-::-A. Ameri et al.Cerebral venous thrombosisNeurol Clin(1992)-::-M.G. BousserCerebral venous thrombosisdiagnosis and managementJ Neurol(2000)-::-J.M. Ferro et al.Prognosis of cerebral vein and dural sinus thrombosisresults of the International Study on Cerebral Vein and Dural Sinus Thrombosis (ISCV1)Stroke(2004)-::-D.J. Lanska et al.Factors for peripartum and postpartum stroke and intracranial venous thrombosisStroke(2000)-::-D.J. Lanska et al.Stroke and intracranial venous thrombosis during pregnancy and puerperiumNeurology(1998)-::-I. Matinelli et al.High risk of cerebral venous thrombosis in carriers of prothrombic gene mutation and in users of oral contraceptivesN Engl J Med(1988)
Diagnosis of subarachnoid hemorrhage in the emergency department,"R EvansDiagnostic testing for the evaluation of headachesNeurol Clin(1996)-::-M LeichtNon-traumatic headache in the emergency departmentAnn Emerg Med(1980)-::-F.H Linn et al.Prospective study of sentinel headache in aneurysmal subarachnoid haemorrhageLancet(1994)-::-A Karcz et al.Massachusetts emergency medicine closed malpractice claims: 1988–1990Ann Emerg Med(1993)-::-J.J Seymour et al.Response of headache to nonnarcotic analgesics resulting in missed intracranial hemorrhageAm J Emerg Med(1995)-::-W.I Schievink et al.Circumstances surrounding aneurysmal subarachnoid hemorrhageSurg Neurol(1989)-::-A SchattnerPain in the neckLancet(1996)-::-J.A Edlow et al.How good is a negative cranial computed tomographic scan result in excluding subarachnoid hemorrhage?Ann Emerg Med(2000)-::-J.R HoffmanComputed tomography for subarachnoid hemorrhage: what should we make of the “evidence”?Ann Emerg Med(2001)-::-P.E Vos et al.Subarachnoid haemorrhage following rupture of an ophthalmic artery aneurysm presenting as traumatic brain injuryClin Neurol Neurosurg(2000)-::-J van GijnSlip-ups in diagnosis of subarachnoid haemorrhageLancet(1997)-::-J HillmanShould computed tomography scanning replace lumbar puncture in the diagnostic process in suspected subarachnoid hemorrhage?Surg Neurol(1986)-::-K.H Shah et al.Distinguishing traumatic lumbar puncture from true subarachnoid hemorrhageJournal of Emergency Medicine(2002)-::-J.A Edlow et al.Avoiding pitfalls in the diagnosis of subarachnoid hemorrhageN Engl J Med(2000)-::-M Ramirez-Lassepas et al.Predictors of intracranial pathologic findings in patients who seek emergency care because of headacheArch Neurol(1997)-::-B.M FrishbergThe utility of neuroimaging in the evaluation of headache in patients with normal neurologic examinationsNeurology(1994)-::-W.I SchievinkIntracranial aneurysmsN Engl J Med(1997)-::-F.H Linn et al.Incidence of subarachnoid hemorrhage: role of region, year, and rate of computed tomography: a meta-analysisStroke(1996)-::-M.R Mayberg et al.Guidelines for the management of aneurysmal subarachnoid hemorrhageStroke(1994)-::-V Dhopesh et al.A retrospective assessment of emergency department patients with complaints of headacheHeadache(1979)-::-L Morgenstern et al.Worst headache and subarachnoid hemorrhage: prospective computed tomography and spinal fluid analysisAnn Emerg Med(1998)-::-H.P Adams et al.Pitfalls in the recognition of subarachnoid hemorrhageJAMA(1980)-::-N Kassell et al.Delay in referral of patients with ruptured aneurysms to neurosurgical attentionStroke(1985)-::-P.L Mayer et al.Misdiagnosis of symptomatic cerebral aneurysm: prevalence and correlation with outcome at four institutionsStroke(1996)-::-G Neil-Dwyer et al.“Brain attack”—aneurysmal subarachnoid haemorrhage: death due to delayed diagnosisJ R Coll Physicians Lond(1997)-::-W.F Stewart et al.Prevalence of migraine headache in the United States. Relation to age, income, race, and other sociodemographic factorsJAMA(1992)-::-W.E Hunt et al.Surgical risk as related to time of intervention in the repair of intracranial aneurysmsJ Neurosurg(1968)-::-J Rosenorn et al.Clinical features and outcome in 1076 patients with ruptured intracranial saccular aneurysms: a prospective consecutive studyBr J Neurosurg(1987)-::-B WeirHeadaches from aneurysmsCephalgia(1993)-::-A Liedo et al.Acute headache of recent onset and subarachnoid hemorrhage: a prospective studyHeadache(1994)-::-V Limmroth et al.Neurotransmitters and neuropeptides in headacheCurr Opin Neurol(1996)-::-M.A Moskowitz et al.Experimental studies on the sensory innervation of the cerebral blood vesselsCephalgia(1986)"
Aneurysmal subarachnoid haemorrhage in pregnancy,"A. Kriplani et al.Ruptured intracranial aneurysm complicating pregnancyInt J Gynecol Obstet(1995)-::-M. Piotin et al.Endovascular treatment of acutely ruptured intracranial aneurysm in pregnancyAm J Obstet Gynecol(2001)-::-W.E. StehbensAetiology of cerebral aneurysmsLancet(1981)-::-M.A. Stoodley et al.Pregnancy and intracranial aneurysmsNeurosurg Clin N Am(1998)-::-W.I. SchievinkGenetics and aneurysmal formationNeurosurg Clin N Am(1998)-::-B.J. Young et al.Subarachnoid haemorrhage and aneurysmsSemin Ultrasound CT MR(1996)-::-W.I. Schievink et al.Circumstances surrounding aneurysmal subarachnoid haemorrhageSurg Neurol(1989)-::-M.J. LeichtNon-traumatic headache in the emergency departmentAnn Emerg Med(1980)-::-F.H. Linn et al.Prospective study of sentinel haemorrhage in aneurysmal subarachnoid haemorrhageLancet(1994)-::-J.J. Seymour et al.Response of headaches to non-narcotic analgesics resulting in missed intracranial haemorrhageAm J Emerg Med(1995)-::-R.M. El GawlyRuptured intracranial aneurysm in pregnancy: a case report and review of the literatureEur J Obstet Gynaecol(1992)-::-N.W.C. Dorsch et al.A Review of cerebral vasospasm in aneurysmal subarachnoid haemorrhageJ Clin Neurosci(1994)-::-D.O. WiebersUnruptured intracranial aneurysms: natural history, clinical outcome, and risks of surgical and endovascular treatmentLancet(2003)-::-P.M. White et al.Unruptured intracranial aneurysms: prospective data have arrived. CommentaryLancet(2003)-::-A. MolyneuxInternational Subarachnoid Aneurysm Trial (ISAT) of neurosurgical clipping versus endovascular coiling in 2143 patients with ruptured intracranial aneurysms: a randomised trialLancet(2002)-::-D.A. Nichols et al.Coils or clips in subarachnoid haemorrhage?Lancet(2002)-::-M.S. Dias et al.Intracranial haemorrhage from aneurysms and arteriovenous malformations during pregnancy and the puerperiumNeurosurgery(1990)-::-De Swiet M. Other indirect deaths. In: Gwyneth L, editor. Why mothers die. Report on confidential enquiries into...-::-Hibbard BM, editor. Report on confidential enquiries into maternal deaths in the United Kingdom 1988–1990. London:...-::-Hibbard BM, editor. Report on confidential enquiries into maternal deaths in the United Kingdom 1991–1993. London:...-::-Gwyneth L, editor. Why mothers die. Report on confidential enquiries into maternal deaths in the United Kingdom...-::-T. Inagawa et al.Study of aneurysmal subarachnoid haemorrhage in Izumo City, JapanStroke(1995)-::-W.I. Schievink et al.The poor prognosis of ruptured intracranial aneurysms of the posterior circulationJ Neurosurg(1995)-::-J.A. Edlow et al.Avoiding pitfalls in the diagnosis of subarachnoid haemorrhageN Engl J Med(2000)-::-W.I. Schievink et al.Sudden death from aneurysmal subarachnoid haemorrhageNeurology(1995)-::-W.T. Longstreth et al.Clinical course of spontaneous subarachnoid haemorrhage: a population-based study in King County, WashingtonNeurology(1993)-::-O. Kizilkilic et al.Endovascular treatment of ruptured intracranial aneurysms during pregnancy: report of three casesArch Gynecol Obstet(2003)-::-F.M.S. Basama et al.Subarachnoid haemorrhage from ruptured aneurysm during pregnancyJ Obstet Gynaecol(2000)-::-V.A. Catanzarite et al.Management of pregnancy subsequent to rupture of an intracranial aneurysmAm J Perinatol(1984)-::-S.L. Giannotta et al.Ruptured intracranial aneurysms during pregnancy: a report of four casesJ Reprod Med(1986)-::-T.E. Gill et al.Anaesthetic management of cerebral aneurysm clipping during pregnancy: a case reportAANA J.(1993)-::-P. HubertAcute subdural haematoma of the convexity caused by rupture of an aneurysm in the anterior communicating artery. A propos of a case in a pregnant womanNeurochirurgie(1994)-::-P.M. Meyers et al.Endovascular treatment of cerebral artery aneurysms during pregnancy: report of three casesAm J Neuroradiol(2000)-::-C. Georgantopoulou et al.Intracranial aneurysm in pregnancy presenting as hyperemesis gravidarumJ Obstet Gynecol(2003)-::-K.J. Nedd et al.Subarachnoid haemorrhage during pregnancy and puerperium: report of 3 cases and review of the literatureJ Am Osteopath Assoc.(1986)-::-J.P. Broderick et al.The risk of subarachnoid haemorrhage and intracerebral haemorrhages in blacks as compared with whitesN Engl J Med(1992)-::-J.L. Mas et al.Stroke in pregnancy and the puerperiumJ Neurol(1998)-::-H.J. Miller et al.Berry aneurysms in pregnancy: a 10-year reportS Med J(1970)-::-J.M. Barrett et al.Pregnancy-related rupture of arterial aneurysmsObstet Gynecol Surv(1982)-::-G.A. Siwolke et al.Cerebrovascular accidents complicating pregnancy and the puerperiumObstet Gynecol(1991)-::-Yaşargil MG. Clinical considerations, surgery of the intracranial aneurysms and results. Stuttgart: Georg Thieme...-::-D.O. WiebersUnruptured intracranial aneurysms: risk of rupture and risks of surgical intervention. The international study of unruptured intracranial aneurysms investigatorsN Engl J Med(1998)-::-G. Austin et al.The significance of the extracellular matrix in intracranial aneurysmsAnn Clin Lab Sci(1993)-::-M.C. Wong et al.Cerebrovascular disease and stroke in womenCardiology(1990)-::-S.J. Kittner et al.Pregnancy and the risk of strokeN Engl J Med(1996)-::-S.M. de la Monty et al.Risk factors for the development and rupture of intracranial berry aneurysmsAm J Med(1985)-::-B.K. Weir et al.Rapid growth of residual aneurysmal neck during pregnancy: a case reportJ Neurosurg(1991)-::-W.I. Schievink et al.Neurovascular manifestations of heritable connective tissue disorders: a reviewStroke(1994)-::-D. Gaist et al.Risk of subarachnoid haemorrhage in first-degree relatives of patients with subarachnoid haemorrhage: follow up study based on national registries in DenmarkBMJ(2000)-::-D.B. Petitti et al.Use of oral contraceptives, cigarette smoking, and risk of subarachnoid haemorrhageLancet(1978)"
